ResourceType      Locations    Name                    Zones    Restrictions
virtualMachines   centralus    Standard_D48pds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48plds_v5     1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48pls_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48ps_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48s_v3        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48s_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D48_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D48_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4ads_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4as_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4as_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4a_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4ds_v4        1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4ds_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4d_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4d_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4lds_v5       1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D4ls_v5        1,2,3    NotAvailableForSubscription, type: Location, locations: centralus
virtualMachines   centralus    Standard_D4pds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4plds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4pls_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4ps_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4s_v3         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4s_v4         1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
virtualMachines   centralus    Standard_D4s_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: centralus', 'NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3,2']
virtualMachines   centralus    Standard_D4_v2          1,2,3    NotAvailableForSubscription, type: Zone, locations: centralus, zones: 1,3
